site_index,species,node_type,x,y,z,mask_mean,mask_std,mask_seed_123
0,Mo,0,0.0127612630124887,1.834561948025378,3.7199999999999998,0.6241857409477234,0.0,0.6241857409477234
1,Mo,0,-1.582396611968703,4.597456448063598,3.72,0.46020615100860596,0.0,0.46020615100860596
2,Mo,0,-3.1775544869498953,7.360350948101818,3.72,0.3372509777545929,0.0,0.3372509777545929
3,Mo,0,-4.772712361931087,10.123245448140038,3.7200000000000006,0.6287645697593689,0.0,0.6287645697593689
4,Mo,0,-6.367870236912278,12.886139948178256,3.7200000000000006,0.3696068823337555,0.0,0.3696068823337555
5,Mo,0,-7.963028111893471,15.649034448216476,3.720000000000001,0.3807997703552246,0.0,0.3807997703552246
6,Mo,0,-9.558185986874662,18.411928948254698,3.720000000000001,0.6227635741233826,0.0,0.6227635741233826
7,Mo,0,-11.153343861855856,21.174823448292916,3.7200000000000015,0.6015416383743286,0.0,0.6015416383743286
8,Mo,0,3.2030770130124884,1.834561948025378,3.72,0.5176334381103516,0.0,0.5176334381103516
9,Mo,0,1.607919138031297,4.597456448063598,3.72,0.6082088947296143,0.0,0.6082088947296143
10,Mo,0,0.01276126305010461,7.360350948101818,3.7200000000000006,0.5905140042304993,0.0,0.5905140042304993
11,Mo,0,-1.5823966119310873,10.123245448140038,3.7200000000000006,0.462531179189682,0.0,0.462531179189682
12,Mo,0,-3.1775544869122783,12.886139948178256,3.720000000000001,0.5831321477890015,0.0,0.5831321477890015
13,Mo,0,-4.772712361893471,15.649034448216476,3.720000000000001,0.3655501902103424,0.0,0.3655501902103424
14,Mo,0,-6.367870236874663,18.411928948254698,3.7200000000000015,0.43507933616638184,0.0,0.43507933616638184
15,Mo,0,-7.963028111855855,21.174823448292916,3.7200000000000015,0.5505892634391785,0.0,0.5505892634391785
16,X,1,6.393392763012487,1.834561948025378,3.72,0.0,0.0,0.0
17,Mo,0,4.7982348880312955,4.597456448063598,3.7200000000000006,0.5702686905860901,0.0,0.5702686905860901
18,Mo,0,3.2030770130501036,7.360350948101818,3.7200000000000006,0.6324019432067871,0.0,0.6324019432067871
19,Mo,0,1.6079191380689117,10.123245448140038,3.720000000000001,0.40207287669181824,0.0,0.40207287669181824
20,Mo,0,0.012761263087720742,12.886139948178256,3.720000000000001,0.4293588399887085,0.0,0.4293588399887085
21,Mo,0,-1.582396611893472,15.649034448216476,3.7200000000000015,0.6189396381378174,0.0,0.6189396381378174
22,Mo,0,-3.177554486874664,18.411928948254698,3.7200000000000015,0.4172016978263855,0.0,0.4172016978263855
23,Mo,0,-4.772712361855856,21.174823448292916,3.7200000000000015,0.6253552436828613,0.0,0.6253552436828613
24,Mo,0,9.583708513012487,1.834561948025378,3.7200000000000006,0.5054214596748352,0.0,0.5054214596748352
25,Mo,0,7.988550638031295,4.597456448063598,3.7200000000000006,0.6079329252243042,0.0,0.6079329252243042
26,Mo,0,6.3933927630501035,7.360350948101818,3.720000000000001,0.5991209149360657,0.0,0.5991209149360657
27,Mo,0,4.798234888068912,10.123245448140038,3.720000000000001,0.6174105405807495,0.0,0.6174105405807495
28,Mo,0,3.2030770130877206,12.886139948178256,3.7200000000000015,0.4172612726688385,0.0,0.4172612726688385
29,Mo,0,1.6079191381065279,15.649034448216476,3.7200000000000015,0.418751060962677,0.0,0.418751060962677
30,Mo,0,0.012761263125335987,18.411928948254698,3.7200000000000015,0.6326958537101746,0.0,0.6326958537101746
31,Mo,0,-1.582396611855856,21.174823448292916,3.720000000000002,0.4256748855113983,0.0,0.4256748855113983
32,Mo,0,12.774024263012489,1.834561948025378,3.7200000000000006,0.4475499987602234,0.0,0.4475499987602234
33,Mo,0,11.178866388031297,4.597456448063598,3.720000000000001,0.5412845015525818,0.0,0.5412845015525818
34,Mo,0,9.583708513050105,7.360350948101818,3.720000000000001,0.5827623009681702,0.0,0.5827623009681702
35,Mo,0,7.988550638068913,10.123245448140038,3.7200000000000015,0.6234487891197205,0.0,0.6234487891197205
36,Mo,0,6.393392763087722,12.886139948178256,3.7200000000000015,0.36661991477012634,0.0,0.36661991477012634
37,Mo,0,4.7982348881065295,15.649034448216476,3.7200000000000015,0.433634877204895,0.0,0.433634877204895
38,Mo,0,3.2030770131253377,18.411928948254698,3.720000000000002,0.4130963981151581,0.0,0.4130963981151581
39,Mo,0,1.6079191381441458,21.174823448292916,3.720000000000002,0.5955751538276672,0.0,0.5955751538276672
40,Mo,0,15.964340013012489,1.834561948025378,3.720000000000001,0.32183435559272766,0.0,0.32183435559272766
41,Mo,0,14.369182138031297,4.597456448063598,3.720000000000001,0.3698490262031555,0.0,0.3698490262031555
42,Mo,0,12.774024263050105,7.360350948101818,3.7200000000000015,0.5974137783050537,0.0,0.5974137783050537
43,Mo,0,11.178866388068913,10.123245448140038,3.7200000000000015,0.3333410322666168,0.0,0.3333410322666168
44,Mo,0,9.583708513087721,12.886139948178256,3.7200000000000015,0.353921502828598,0.0,0.353921502828598
45,Mo,0,7.988550638106529,15.649034448216476,3.720000000000002,0.3957361578941345,0.0,0.3957361578941345
46,Mo,0,6.3933927631253376,18.411928948254698,3.720000000000002,0.44222748279571533,0.0,0.44222748279571533
47,Mo,0,4.798234888144146,21.174823448292916,3.7200000000000024,0.3775395154953003,0.0,0.3775395154953003
48,Mo,0,19.15465576301249,1.834561948025378,3.720000000000001,0.37631601095199585,0.0,0.37631601095199585
49,Mo,0,17.5594978880313,4.597456448063598,3.7200000000000015,0.5824126601219177,0.0,0.5824126601219177
50,Mo,0,15.964340013050105,7.360350948101818,3.7200000000000015,0.5261473655700684,0.0,0.5261473655700684
51,Mo,0,14.369182138068913,10.123245448140038,3.7200000000000015,0.3515249788761139,0.0,0.3515249788761139
52,Mo,0,12.774024263087721,12.886139948178256,3.720000000000002,0.36207613348960876,0.0,0.36207613348960876
53,Mo,0,11.17886638810653,15.649034448216476,3.720000000000002,0.6174107789993286,0.0,0.6174107789993286
54,Mo,0,9.583708513125337,18.411928948254698,3.7200000000000024,0.4327011704444885,0.0,0.4327011704444885
55,Mo,0,7.988550638144146,21.174823448292916,3.7200000000000024,0.43698251247406006,0.0,0.43698251247406006
56,Mo,0,22.34497151301249,1.834561948025378,3.7200000000000015,0.4878028929233551,0.0,0.4878028929233551
57,Mo,0,20.7498136380313,4.597456448063598,3.7200000000000015,0.5397816300392151,0.0,0.5397816300392151
58,Mo,0,19.154655763050105,7.360350948101818,3.7200000000000015,0.6017152070999146,0.0,0.6017152070999146
59,Mo,0,17.55949788806891,10.123245448140038,3.720000000000002,0.36784642934799194,0.0,0.36784642934799194
60,Mo,0,15.964340013087721,12.886139948178256,3.720000000000002,0.559958279132843,0.0,0.559958279132843
61,Mo,0,14.36918213810653,15.649034448216476,3.7200000000000024,0.3779452443122864,0.0,0.3779452443122864
62,Mo,0,12.774024263125337,18.411928948254698,3.7200000000000024,0.6196629405021667,0.0,0.6196629405021667
63,Mo,0,11.178866388144145,21.174823448292916,3.720000000000003,0.6135187149047852,0.0,0.6135187149047852
64,S,0,1.5823966120063198,0.9283325520128419,2.16,0.6550658345222473,0.0,0.6550658345222473
65,S,0,-0.012761262974872345,3.691227052051062,2.1600000000000006,0.5734117031097412,0.0,0.5734117031097412
66,S,0,-1.6079191379560638,6.454121552089282,2.1600000000000006,0.6145291328430176,0.0,0.6145291328430176
67,S,0,-3.2030770129372557,9.217016052127502,2.160000000000001,0.6682139039039612,0.0,0.6682139039039612
68,S,0,-4.798234887918449,11.979910552165723,2.160000000000001,0.6485773921012878,0.0,0.6485773921012878
69,S,0,-6.393392762899639,14.742805052203943,2.1600000000000015,0.6040496230125427,0.0,0.6040496230125427
70,S,0,-7.988550637880831,17.505699552242163,2.1600000000000015,0.5834162831306458,0.0,0.5834162831306458
71,S,0,-9.583708512862023,20.26859405228038,2.160000000000002,0.562759280204773,0.0,0.562759280204773
72,S,0,4.772712362006319,0.9283325520128419,2.1600000000000006,0.6633813381195068,0.0,0.6633813381195068
73,S,0,3.177554487025127,3.691227052051062,2.1600000000000006,0.5681349039077759,0.0,0.5681349039077759
74,S,0,1.5823966120439357,6.454121552089282,2.160000000000001,0.6343313455581665,0.0,0.6343313455581665
75,S,0,-0.012761262937256213,9.217016052127502,2.160000000000001,0.3860989511013031,0.0,0.3860989511013031
76,S,0,-1.607919137918449,11.979910552165723,2.1600000000000015,0.38117921352386475,0.0,0.38117921352386475
77,S,0,-3.20307701289964,14.742805052203943,2.1600000000000015,0.5798496007919312,0.0,0.5798496007919312
78,S,0,-4.798234887880832,17.505699552242163,2.160000000000002,0.6045078635215759,0.0,0.6045078635215759
79,S,0,-6.393392762862024,20.26859405228038,2.160000000000002,0.6342259645462036,0.0,0.6342259645462036
80,S,0,7.96302811200632,0.9283325520128419,2.1600000000000006,0.5252489447593689,0.0,0.5252489447593689
81,S,0,6.367870237025128,3.691227052051062,2.160000000000001,0.6106618046760559,0.0,0.6106618046760559
82,S,0,4.7727123620439365,6.454121552089282,2.160000000000001,0.648440957069397,0.0,0.648440957069397
