site_index,species,node_type,x,y,z,mask_mean,mask_std,mask_seed_123,mask_seed_456,mask_seed_789
0,Mo,0,0.0127612630124887,1.834561948025378,3.7199999999999998,0.18852783739566803,0.049633003771305084,0.20980747044086456,0.23581501841545105,0.11996104568243027
1,Mo,0,-1.582396611968703,4.597456448063598,3.72,0.04902036115527153,0.004956052638590336,0.04391538351774216,0.05573194473981857,0.047413744032382965
2,Mo,0,-3.1775544869498953,7.360350948101818,3.72,0.15474893152713776,0.040111396461725235,0.15709209442138672,0.2026616483926773,0.10449305176734924
3,Mo,0,-4.772712361931087,10.123245448140038,3.7200000000000006,0.11981117725372314,0.04486817494034767,0.10325103253126144,0.18113887310028076,0.07504361122846603
4,Mo,0,-6.367870236912278,12.886139948178256,3.7200000000000006,0.09442652016878128,0.02630382962524891,0.0920693427324295,0.12775585055351257,0.06345437467098236
5,Mo,0,-7.963028111893471,15.649034448216476,3.720000000000001,0.0474112443625927,0.012454946525394917,0.03136540204286575,0.06172596663236618,0.04914236441254616
6,Mo,0,-9.558185986874662,18.411928948254698,3.720000000000001,0.18161731958389282,0.021518561989068985,0.19863656163215637,0.19495560228824615,0.15125976502895355
7,Mo,0,-11.153343861855856,21.174823448292916,3.7200000000000015,0.2537413239479065,0.03775375336408615,0.2738747298717499,0.28649991750717163,0.20084936916828156
8,Mo,0,3.2030770130124884,1.834561948025378,3.72,0.30173352360725403,0.028291020542383194,0.3417430520057678,0.2816830575466156,0.28177452087402344
9,Mo,0,1.607919138031297,4.597456448063598,3.72,0.23202510178089142,0.04529570788145065,0.25549232959747314,0.27191048860549927,0.16867253184318542
10,Mo,0,0.01276126305010461,7.360350948101818,3.7200000000000006,0.32173582911491394,0.009057077579200268,0.3152509331703186,0.3345441520214081,0.3154124617576599
11,Mo,0,-1.5823966119310873,10.123245448140038,3.7200000000000006,0.3279741704463959,0.03909223899245262,0.2860499322414398,0.38014644384384155,0.317726194858551
12,Mo,0,-3.1775544869122783,12.886139948178256,3.720000000000001,0.25971972942352295,0.024851016700267792,0.2647895812988281,0.2873026132583618,0.2270670086145401
13,Mo,0,-4.772712361893471,15.649034448216476,3.720000000000001,0.5563840866088867,0.050570979714393616,0.5888233184814453,0.5953632593154907,0.48496565222740173
14,Mo,0,-6.367870236874663,18.411928948254698,3.7200000000000015,0.23573143780231476,0.010936995968222618,0.2431861162185669,0.24374069273471832,0.22026750445365906
