site_index,species,node_type,x,y,z,mask_mean,mask_std,mask_seed_123,mask_seed_456,mask_seed_789
0,Mo,0,0.0127612630124887,1.834561948025378,3.7199999999999998,0.14704538881778717,0.009401541203260422,0.13384456932544708,0.1550195962190628,0.15227198600769043
1,Mo,0,-1.582396611968703,4.597456448063598,3.72,0.07523108273744583,0.004172658082097769,0.0798720270395279,0.0760670006275177,0.0697542130947113
2,Mo,0,-3.1775544869498953,7.360350948101818,3.72,0.1424759030342102,0.012130992487072945,0.1389896124601364,0.15876641869544983,0.12967169284820557
3,Mo,0,-4.772712361931087,10.123245448140038,3.7200000000000006,0.16057440638542175,0.020683007314801216,0.13279123604297638,0.16654439270496368,0.1823875904083252
4,Mo,0,-6.367870236912278,12.886139948178256,3.7200000000000006,0.07646486908197403,0.00024813340860418975,0.07643159478902817,0.07678403705358505,0.07617897540330887
5,Mo,0,-7.963028111893471,15.649034448216476,3.720000000000001,0.10222277045249939,0.002209021942690015,0.10361820459365845,0.10394563525915146,0.09910446405410767
6,Mo,0,-9.558185986874662,18.411928948254698,3.720000000000001,0.22681181132793427,0.03066376969218254,0.18417569994926453,0.2549871504306793,0.24127253890037537
7,Mo,0,-11.153343861855856,21.174823448292916,3.7200000000000015,0.29113832116127014,0.04093464836478233,0.29316696524620056,0.34022772312164307,0.24002030491828918
8,Mo,0,3.2030770130124884,1.834561948025378,3.72,0.5904029607772827,0.013164154253900051,0.598273515701294,0.6010787487030029,0.5718566179275513
9,Mo,0,1.607919138031297,4.597456448063598,3.72,0.43425559997558594,0.029793234542012215,0.4617275893688202,0.44818583130836487,0.392853319644928
10,Mo,0,0.01276126305010461,7.360350948101818,3.7200000000000006,0.4266631603240967,0.04816403612494469,0.4204552173614502,0.48851025104522705,0.371023952960968
11,Mo,0,-1.5823966119310873,10.123245448140038,3.7200000000000006,0.551697313785553,0.018958648666739464,0.5694794654846191,0.5601842403411865,0.5254283547401428
12,Mo,0,-3.1775544869122783,12.886139948178256,3.720000000000001,0.4420866072177887,0.04213092103600502,0.43487605452537537,0.49691224098205566,0.3944714665412903
13,Mo,0,-4.772712361893471,15.649034448216476,3.720000000000001,0.30822858214378357,0.01696261204779148,0.2996586263179779,0.33191749453544617,0.293109655380249
14,Mo,0,-6.367870236874663,18.411928948254698,3.7200000000000015,0.1305709183216095,0.051499225199222565,0.2033359408378601,0.0915062353014946,0.09687057137489319
15,Mo,0,-7.963028111855855,21.174823448292916,3.7200000000000015,0.594587504863739,0.020715318620204926,0.5805014371871948,0.6238762736320496,0.5793847441673279
16,X,1,6.393392763012487,1.834561948025378,3.72,0.6476242542266846,0.02758440189063549,0.6315369606018066,0.6248905062675476,0.6864452958106995
17,Mo,0,4.7982348880312955,4.597456448063598,3.7200000000000006,0.5682891011238098,0.009340689517557621,0.5621914267539978,0.581486165523529,0.5611897110939026
18,Mo,0,3.2030770130501036,7.360350948101818,3.7200000000000006,0.2907491624355316,0.03665528818964958,0.24859660863876343,0.33795562386512756,0.2856951951980591
19,Mo,0,1.6079191380689117,10.123245448140038,3.720000000000001,0.36380496621131897,0.05931813269853592,0.38066792488098145,0.4265401363372803,0.2842068374156952
20,Mo,0,0.012761263087720742,12.886139948178256,3.720000000000001,0.3099219799041748,0.04725819453597069,0.3765188455581665,0.271760493516922,0.2814866304397583
21,Mo,0,-1.582396611893472,15.649034448216476,3.7200000000000015,0.46666932106018066,0.03631072863936424,0.4561678171157837,0.5154516100883484,0.4283885955810547
22,Mo,0,-3.177554486874664,18.411928948254698,3.7200000000000015,0.08938077837228775,0.011058326810598373,0.07440498471260071,0.09296686947345734,0.1007704809308052
23,Mo,0,-4.772712361855856,21.174823448292916,3.7200000000000015,0.6358799338340759,0.010485472157597542,0.6282587647438049,0.6507067084312439,0.6286743879318237
24,Mo,0,9.583708513012487,1.834561948025378,3.7200000000000006,0.5857521891593933,0.004347648471593857,0.5805557370185852,0.591196596622467,0.5855042934417725
25,Mo,0,7.988550638031295,4.597456448063598,3.7200000000000006,0.5625415444374084,0.0051016779616475105,0.5598229169845581,0.5696885585784912,0.558113157749176
26,Mo,0,6.3933927630501035,7.360350948101818,3.720000000000001,0.2221788913011551,0.06108013540506363,0.3084809184074402,0.18221332132816315,0.1758424937725067
27,Mo,0,4.798234888068912,10.123245448140038,3.720000000000001,0.32490119338035583,0.07866662740707397,0.4134107232093811,0.3390176594257355,0.22227515280246735
28,Mo,0,3.2030770130877206,12.886139948178256,3.7200000000000015,0.3820294141769409,0.08582216501235962,0.4091435372829437,0.4709261655807495,0.2660185396671295
29,Mo,0,1.6079191381065279,15.649034448216476,3.7200000000000015,0.5412864685058594,0.016227714717388153,0.520076334476471,0.5443016886711121,0.5594813823699951
30,Mo,0,0.012761263125335987,18.411928948254698,3.7200000000000015,0.3020452857017517,0.06760136038064957,0.24341797828674316,0.3967580497264862,0.26595979928970337
31,Mo,0,-1.582396611855856,21.174823448292916,3.720000000000002,0.12478569895029068,0.0042055025696754456,0.1291813999414444,0.11911830306053162,0.12605738639831543
